cust_id,acct_nbr,acct_type,account_active,starting_balance,ending_balance,cc_av_wd,cc_av_pm,cc_n_wd,cc_n_pm,cq_av_wd,cq_av_dp,cq_n_wd,cq_n_dp,sv_av_wd,sv_av_dp,sv_n_wd,sv_n_dp,end_start_ratio
1362806,13628063,SV,1,1430.22,284.58,,,,,,,,,-172.31437499999998,84.80999999999999,16.0,19.0,0.19897638125603054
1362709,4561143213627090,CC,1,266.34,496.15,-112.66749999999999,356.71999999999997,40.0,12.0,,,,,,,,,1.8628444844935046
1362836,4561143213628360,CC,1,55.9,1000.0,-80.71958333333333,93.57166666666666,24.0,12.0,,,,,,,,,17.88908765652952
1363311,13633112,CK,1,11017.13,968.46,,,,,-271.6535593220339,284.70904761904757,59.0,21.0,,,,,0.08790492623759547
1363361,4561143213633610,CC,1,849.37,462.28,-150.0865625,472.89272727272726,32.0,11.0,,,,,,,,,0.5442622178791339
1363102,4561143213631020,CC,1,0.0,1000.0,-117.32777777777778,55.95,9.0,1.0,,,,,,,,,
1363327,4561143213633270,CC,1,0.0,3000.0,-109.64083333333333,133.435,36.0,8.0,,,,,,,,,
1362897,13628972,CK,1,152.12,52.33,,,,,-44.4271875,195.96785714285716,64.0,14.0,,,,,0.34400473310544305
1363237,4561143213632370,CC,0,8649.37,0.0,,8735.14,,1.0,,,,,,,,,0.0
1362720,13627202,CK,1,1074.16,216.74,,,,,-48.464305555555555,202.46230769230772,72.0,13.0,,,,,0.20177627169136814
1363243,4561143213632430,CC,1,1025.87,110.03,-109.37121951219513,451.2091666666667,41.0,12.0,,,,,,,,,0.10725530525310226
1362945,13629452,CK,1,204.67,375.14,,,,,-52.88942028985507,201.04421052631577,69.0,19.0,,,,,1.832901744271266
1362641,13626413,SV,0,139.95,141.92,,,,,,,,,,0.17909090909090908,,11.0,1.014076455877099
1363377,13633773,SV,1,610.91,1782.06,,,,,,,,,-125.252,105.77764705882353,5.0,17.0,2.917058159139644
1362793,4561143213627930,CC,1,714.43,407.08,-155.9907142857143,209.86166666666668,14.0,12.0,,,,,,,,,0.5697969010259928
1362940,13629403,SV,1,165.68,778.84,,,,,,,,,-73.84333333333333,52.842499999999994,6.0,20.0,4.700869145340415
1362782,4561143213627820,CC,1,216.82,1136.06,-142.74885714285713,344.69166666666666,35.0,12.0,,,,,,,,,5.239645789133844
