cust_id,income,age,years_with_bank,nbr_children,gender,marital_status,state_code,cc_acct_nbr,cc_acct_active,cc_starting_balance,cc_ending_balance,cc_av_wd,cc_av_pm,cc_n_wd,cc_n_pm,cc_end_start_ratio,cq_av_wd,cq_av_dp,cq_n_wd,cq_n_dp,cq_end_start_ratio,cq_acct_nbr,cq_acct_active,cq_starting_balance,cq_ending_balance,sv_av_wd,sv_av_dp,sv_n_wd,sv_n_dp,sv_end_start_ratio,sv_acct_nbr,sv_acct_active,sv_starting_balance,sv_ending_balance
1362487,6605,71,1,0,M ,2,CA  ,4561143213624870.0,1.0,0.0,1548.23,-121.32307692307693,404.7025,26.0,4.0,,-72.2425,66.64785714285715,32.0,14.0,0.5038384506682679,13624872.0,1.0,2781.07,1401.21,-109.0257142857143,15.5425,7.0,8.0,0.0197781289797922,13624873.0,0.0,651.73,12.89
1363160,18548,38,8,0,F ,1,CA  ,4561143213631600.0,1.0,657.46,286.69,-116.605,536.9575,52.0,12.0,0.436056946430201,,,,,,,,,,-66.31800000000001,58.0808695652174,20.0,23.0,1.0840410474168436,13631603.0,1.0,113.04,122.54
1362752,47668,54,3,0,F ,1,CA  ,4561143213627520.0,0.0,2302.14,0.0,-188.8,1073.6625,10.0,4.0,0.0,-93.81074626865671,725.17375,67.0,8.0,0.0077098156615883,13627522.0,1.0,487.69,3.76,,0.7558333333333334,,12.0,1.0151101189484557,13627523.0,1.0,600.26,609.33
1362548,44554,59,9,2,F ,4,NY  ,4561143213625480.0,1.0,6965.25,68.68,-312.0284615384616,1379.2025,13.0,8.0,0.0098603783065934,-176.60412698412696,237.14041666666665,63.0,24.0,0.094873041833074,13625482.0,1.0,6004.34,569.65,,0.315,,12.0,1.0151054987212276,13625483.0,1.0,250.24,254.02
1363017,0,16,1,0,M ,1,CA  ,4561143213630170.0,1.0,0.0,1000.0,-111.2882,460.831,50.0,10.0,,-101.65354838709676,208.5977777777778,62.0,18.0,0.0546029366472349,13630172.0,1.0,2694.91,147.15,-79.14333333333333,97.51357142857144,6.0,14.0,1.4427255820429434,13630173.0,0.0,2011.02,2901.35
1362609,1929,79,8,0,F ,2,HI  ,4561143213626090.0,1.0,1775.07,3000.0,-106.6353125,211.5025,32.0,12.0,1.690074194257128,-97.6974074074074,143.59052631578948,54.0,19.0,0.0060001482481361,13626092.0,0.0,2563.27,15.38,-179.89454545454544,74.7270588235294,11.0,17.0,0.0651230864571933,13626093.0,1.0,758.41,49.39
1363486,39942,41,1,5,F ,4,HI  ,4561143213634860.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
1363078,9622,46,6,1,M ,2,HI  ,4561143213630780.0,1.0,2385.21,1147.07,-120.50027777777778,471.00666666666666,36.0,12.0,0.4809094377434271,-53.23819672131148,222.42857142857144,61.0,14.0,0.5569086806477304,13630782.0,1.0,301.36,167.83,-89.435,85.233125,10.0,16.0,4.66614505907206,13630783.0,1.0,127.81,596.38
1363282,25829,29,8,0,F ,1,DC  ,4561143213632820.0,1.0,46.42,272.69,-162.91916666666663,310.0,24.0,12.0,5.874407582938388,-62.66370967741936,273.9592857142857,62.0,14.0,0.6286781179985064,13632822.0,1.0,133.9,84.18,,,,,,,,,
1363343,0,15,0,0,M ,1,TX  ,,,,,,,,,,,,,,,,,,,-108.94933333333331,116.85230769230768,15.0,26.0,3.324914709681693,13633433.0,1.0,603.82,2007.65
1362670,8877,26,5,0,F ,1,CA  ,,,,,,,,,,-116.37827586206896,218.9531578947368,58.0,19.0,0.0396442618879032,13626702.0,0.0,2697.49,106.94,,,,,,,,,
1363465,10516,41,1,1,M ,4,CA  ,,,,,,,,,,-95.92027027027028,135.60315789473685,37.0,19.0,0.6265497255594364,13634652.0,1.0,2605.3,1632.35,,1.4533333333333331,,12.0,1.0304108251377553,13634653.0,1.0,573.48,590.92
1363404,0,17,2,0,M ,1,OH  ,,,,,,,,,,-36.8016393442623,165.24588235294118,61.0,17.0,3.175747059957586,13634042.0,1.0,259.35,823.63,-79.29400000000001,61.469,10.0,20.0,4.8187067984950565,13634043.0,1.0,114.29,550.73
1362588,6354,66,6,0,M ,2,WA  ,4561143213625880.0,1.0,453.45,1000.0,-134.98675675675676,373.4483333333333,37.0,12.0,2.2053148086889403,-44.26952380952381,150.8341176470588,63.0,17.0,0.0254476091385962,13625882.0,1.0,230.67,5.87,-91.36333333333334,50.22529411764705,12.0,17.0,0.0384950840469394,13625883.0,1.0,252.24,9.71
1363200,21015,18,3,0,M ,1,CA  ,4561143213632000.0,1.0,0.0,254.56,-109.23076923076924,289.0177777777778,26.0,9.0,,-91.64620689655172,165.16809523809525,58.0,21.0,0.340841119494072,13632002.0,1.0,2801.98,955.03,-173.06428571428572,111.555,7.0,22.0,11.860438696146115,13632003.0,1.0,114.43,1357.19
1362853,26505,50,0,1,F ,2,NJ  ,4561143213628530.0,1.0,0.0,1073.95,-138.46842105263158,526.59,19.0,3.0,,-154.47882352941176,234.81653846153847,51.0,26.0,0.5140560598088222,13628532.0,1.0,3648.96,1875.77,-109.572,40.9425,5.0,16.0,1.116030218583994,13628533.0,1.0,918.64,1025.23
1363261,19494,46,6,0,F ,1,NY  ,4561143213632610.0,1.0,143.33,1000.0,-129.74666666666667,352.4083333333333,39.0,12.0,6.976906439684643,-112.3991935483871,209.02428571428567,62.0,21.0,0.3838310721870647,13632612.0,1.0,4185.93,1606.69,-128.66400000000002,90.77470588235292,15.0,17.0,0.4284004256073772,13632613.0,0.0,676.68,289.89
1363179,19334,42,2,2,F ,4,IL  ,,,,,,,,,,-92.08792452830188,128.255,53.0,18.0,0.01406793239726,13631792.0,1.0,2608.77,36.7,,,,,,,,,
1363057,6493,74,4,0,F ,2,NY  ,4561143213630570.0,1.0,1010.39,938.43,-108.6505,374.6983333333333,40.0,12.0,0.9287799760488524,,,,,,,,,,-158.48600000000002,34.71,10.0,19.0,0.5991495289099609,13630573.0,1.0,2311.66,1385.03
1363444,3171,22,1,1,F ,2,CA  ,4561143213634440.0,1.0,0.0,1000.0,-116.40152173913044,487.3911111111112,46.0,9.0,,-38.91707692307693,187.11461538461535,65.0,13.0,0.4126043304705455,13634442.0,1.0,165.34,68.22,,,,,,,,,
1362649,8976,28,7,1,F ,2,NY  ,4561143213626490.0,1.0,187.17,1000.0,-100.5160294117647,506.66083333333336,68.0,12.0,5.342736549660737,-45.28753623188406,201.37533333333332,69.0,15.0,0.2262399762399762,13626492.0,1.0,134.68,30.47,,,,,,,,,
1362567,30664,56,6,1,F ,2,CA  ,,,,,,,,,,,,,,,,,,,-155.1240909090909,169.0774193548387,22.0,31.0,1.5515347139474205,13625673.0,1.0,3314.95,5143.26
1363383,21751,64,4,0,M ,2,CO  ,4561143213633830.0,1.0,1069.93,0.0,,156.43285714285713,,7.0,0.0,,,,,,,,,,,,,,,,,,
1363036,24326,60,0,0,F ,2,WI  ,4561143213630360.0,1.0,0.0,1200.0,-126.5542105263158,456.06125,38.0,8.0,,-113.424776119403,206.6147619047619,67.0,21.0,0.0125260833880996,13630362.0,1.0,3301.91,41.36,,,,,,,,,
1362506,76087,52,2,1,M ,2,CA  ,4561143213625060.0,1.0,0.0,4216.53,-464.80045454545456,1001.5133333333332,22.0,6.0,,,,,,,,,,,,,,,,,,,
1362832,56597,31,1,2,F ,2,MI  ,4561143213628320.0,1.0,0.0,8500.0,-323.19642857142856,549.5,28.0,1.0,,-126.81641791044775,385.5835,67.0,20.0,0.0585379817038989,13628322.0,1.0,838.43,49.08,,,,,,,,,
1362975,36330,46,6,1,M ,2,NB  ,4561143213629750.0,1.0,556.1,525.5,-167.70736842105262,272.4725,19.0,12.0,0.944973925552958,-102.68629032258065,426.0946666666667,62.0,15.0,1.0963766711877545,13629752.0,0.0,258.05,282.92,,,,,,,,,
1363301,39991,40,0,0,F ,1,AZ  ,,,,,,,,,,-207.5584615384616,218.6312,52.0,25.0,0.0507838095780747,13633012.0,1.0,5616.16,285.21,-235.0844444444444,101.845,9.0,22.0,1.4267838216691169,13633013.0,1.0,292.49,417.32
1362771,24344,32,2,2,F ,2,IL  ,4561143213627710.0,1.0,1127.54,1200.0,-121.7213559322034,601.3858333333334,59.0,12.0,1.0642637955194494,-43.902972972972975,293.51363636363635,74.0,11.0,0.8755168795901994,13627712.0,1.0,162.03,141.86,-153.86583333333334,173.6,12.0,23.0,10.97356070814553,13627713.0,1.0,215.21,2361.62
