,cust_id,income,age,years_with_bank,nbr_children,gender,marital_status,state_code,cc_acct_nbr,cc_acct_active,cc_starting_balance,cc_ending_balance,cc_av_wd,cc_av_pm,cc_n_wd,cc_n_pm,cc_end_start_ratio,cq_av_wd,cq_av_dp,cq_n_wd,cq_n_dp,cq_end_start_ratio,cq_acct_nbr,cq_acct_active,cq_starting_balance,cq_ending_balance,sv_av_wd,sv_av_dp,sv_n_wd,sv_n_dp,sv_end_start_ratio,sv_acct_nbr,sv_acct_active,sv_starting_balance,sv_ending_balance,has_cq,has_cc,has_sv,av_spending,av_deposit,n_spending,n_deposit,total_balance_sept
0,1362487,6605,71,1,0,M ,2,CA  ,4561143213624870.0,1.0,0.0,1548.23,-121.32307692307693,404.7025,26.0,4.0,,-72.2425,66.64785714285715,32.0,14.0,0.5038384506682679,13624872.0,1.0,2781.07,1401.21,-109.0257142857143,15.5425,7.0,8.0,0.0197781289797922,13624873.0,0.0,651.73,12.89,1,1,1,-100.86376373626375,162.29761904761907,65.0,26.0,-134.12999999999988
1,1363160,18548,38,8,0,F ,1,CA  ,4561143213631600.0,1.0,657.46,286.69,-116.605,536.9575,52.0,12.0,0.436056946430201,0.0,0.0,0.0,0.0,,,,,0.0,-66.31800000000001,58.0808695652174,20.0,23.0,1.0840410474168436,13631603.0,1.0,113.04,122.54,0,1,1,-60.974333333333334,198.3461231884058,72.0,35.0,-164.14999999999998
2,1362752,47668,54,3,0,F ,1,CA  ,4561143213627520.0,0.0,2302.14,0.0,-188.8,1073.6625,10.0,4.0,0.0,-93.81074626865671,725.17375,67.0,8.0,0.0077098156615883,13627522.0,1.0,487.69,3.76,0.0,0.7558333333333334,0.0,12.0,1.0151101189484557,13627523.0,1.0,600.26,609.33,1,1,1,-94.20358208955224,599.8640277777778,77.0,24.0,613.09
3,1362548,44554,59,9,2,F ,4,NY  ,4561143213625480.0,1.0,6965.25,68.68,-312.0284615384616,1379.2025,13.0,8.0,0.0098603783065934,-176.60412698412696,237.14041666666665,63.0,24.0,0.094873041833074,13625482.0,1.0,6004.34,569.65,0.0,0.315,0.0,12.0,1.0151054987212276,13625483.0,1.0,250.24,254.02,1,1,1,-162.87752950752952,538.8859722222222,76.0,44.0,754.99
4,1363017,0,16,1,0,M ,1,CA  ,4561143213630170.0,1.0,0.0,1000.0,-111.2882,460.831,50.0,10.0,,-101.65354838709676,208.5977777777778,62.0,18.0,0.0546029366472349,13630172.0,1.0,2694.91,147.15,-79.14333333333333,97.51357142857144,6.0,14.0,1.4427255820429434,13630173.0,0.0,2011.02,2901.35,1,1,1,-97.36169390681003,255.64744973544975,118.0,42.0,2048.5
5,1362609,1929,79,8,0,F ,2,HI  ,4561143213626090.0,1.0,1775.07,3000.0,-106.6353125,211.5025,32.0,12.0,1.690074194257128,-97.6974074074074,143.59052631578948,54.0,19.0,0.0060001482481361,13626092.0,0.0,2563.27,15.38,-179.89454545454544,74.7270588235294,11.0,17.0,0.0651230864571933,13626093.0,1.0,758.41,49.39,1,1,1,-128.07575512065094,143.27336171310628,97.0,48.0,-2935.23
6,1363486,39942,41,1,5,F ,4,HI  ,4561143213634860.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0
7,1363078,9622,46,6,1,M ,2,HI  ,4561143213630780.0,1.0,2385.21,1147.07,-120.50027777777778,471.00666666666666,36.0,12.0,0.4809094377434271,-53.23819672131148,222.42857142857144,61.0,14.0,0.5569086806477304,13630782.0,1.0,301.36,167.83,-89.435,85.233125,10.0,16.0,4.66614505907206,13630783.0,1.0,127.81,596.38,1,1,1,-87.72449149969641,259.55612103174604,107.0,42.0,-382.8599999999999
8,1363282,25829,29,8,0,F ,1,DC  ,4561143213632820.0,1.0,46.42,272.69,-162.91916666666663,310.0,24.0,12.0,5.874407582938388,-62.66370967741936,273.9592857142857,62.0,14.0,0.6286781179985064,13632822.0,1.0,133.9,84.18,0.0,0.0,0.0,0.0,,,,,0.0,1,1,0,-75.19429211469533,194.65309523809523,86.0,26.0,-188.51
9,1363343,0,15,0,0,M ,1,TX  ,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,-108.94933333333331,116.85230769230768,15.0,26.0,3.324914709681693,13633433.0,1.0,603.82,2007.65,0,0,1,-36.316444444444436,38.950769230769225,15.0,26.0,2007.65
10,1362670,8877,26,5,0,F ,1,CA  ,,,,0.0,0.0,0.0,0.0,0.0,,-116.37827586206896,218.9531578947368,58.0,19.0,0.0396442618879032,13626702.0,0.0,2697.49,106.94,0.0,0.0,0.0,0.0,,,,,0.0,1,0,0,-38.79275862068965,72.98438596491226,58.0,19.0,106.94
