cust_id,acct_nbr,acct_type,account_active,starting_balance,ending_balance,cc_av_wd,cc_av_pm,cc_n_wd,cc_n_pm,ck_av_wd,ck_av_dp,ck_n_wd,ck_n_dp,sv_av_wd,sv_av_dp,sv_n_wd,sv_n_dp,end_start_balance_ratio
1362806,13628063,SV,1,1430.22,284.58,,,,,,,,,-172.314375,84.81,16,19,0.198976381
1362709,4.56114E+15,CC,1,266.34,496.15,-112.6675,356.72,40,12,,,,,,,,,1.862844484
1362836,4.56114E+15,CC,1,55.9,1000,-80.71958333,93.57166667,24,12,,,,,,,,,17.88908766
1363311,13633112,CK,1,11017.13,968.46,,,,,-271.6535593,284.7090476,59,21,,,,,0.087904926
1363361,4.56114E+15,CC,1,849.37,462.28,-150.0865625,472.8927273,32,11,,,,,,,,,0.544262218
1363102,4.56114E+15,CC,1,0,1000,-117.3277778,55.95,9,1,,,,,,,,,
1363327,4.56114E+15,CC,1,0,3000,-109.6408333,133.435,36,8,,,,,,,,,
1362897,13628972,CK,1,152.12,52.33,,,,,-44.4271875,195.9678571,64,14,,,,,0.344004733
1363237,4.56114E+15,CC,0,8649.37,0,,8735.14,,1,,,,,,,,,0
1362720,13627202,CK,1,1074.16,216.74,,,,,-48.46430556,202.4623077,72,13,,,,,0.201776272
1363243,4.56114E+15,CC,1,1025.87,110.03,-109.3712195,451.2091667,41,12,,,,,,,,,0.107255305
1362945,13629452,CK,1,204.67,375.14,,,,,-52.88942029,201.0442105,69,19,,,,,1.832901744
1362641,13626413,SV,0,139.95,141.92,,,,,,,,,,0.179090909,,11,1.014076456
1363377,13633773,SV,1,610.91,1782.06,,,,,,,,,-125.252,105.7776471,5,17,2.917058159
1362793,4.56114E+15,CC,1,714.43,407.08,-155.9907143,209.8616667,14,12,,,,,,,,,0.569796901
1362940,13629403,SV,1,165.68,778.84,,,,,,,,,-73.84333333,52.8425,6,20,4.700869145
1362782,4.56114E+15,CC,1,216.82,1136.06,-142.7488571,344.6916667,35,12,,,,,,,,,5.239645789
1363165,4.56114E+15,CC,1,261.21,429.34,-110,208.5291667,24,12,,,,,,,,,1.643658359
1362591,13625912,CK,1,3390.49,920.44,,,,,-139.8215254,262.7009091,59,22,,,,,0.271476984
1363210,4.56114E+15,CC,1,0,889.68,-122.7958621,271.735,29,10,,,,,,,,,
1362823,13628233,SV,1,428.17,491.88,,,,,,,,,-342.35,68.195,3,16,1.148796039
1363395,4.56114E+15,CC,0,3072.77,730,-103.6842105,876.754,19,5,,,,,,,,,0.237570661
1363147,13631472,CK,1,205.58,331.93,,,,,-53.38076923,326.9181818,65,11,,,,,1.614602588
1362917,4.56114E+15,CC,1,0,6800,-272,,25,,,,,,,,,,
1362529,13625292,CK,0,771.72,1007.92,,,,,-79.25611111,594.264,72,10,,,,,1.306069559
1362701,4.56114E+15,CC,1,0,0,,,,,,,,,,,,,
1362622,4.56114E+15,CC,0,2308.5,406.96,-182.7911765,1169.115714,34,7,,,,,,,,,0.176287633
1363078,13630783,SV,1,127.81,596.38,,,,,,,,,-89.435,85.233125,10,16,4.666145059
1362613,13626133,SV,1,236.65,338.98,,,,,,,,,-59.04888889,35.20944444,9,18,1.432410733
